,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
habc8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
hemmb2,-0.2428263700268446,-0.2572695318311677,-0.2583846625949398,-0.2771926007258475,0.0001,-0.33285259841116366,-0.318018257401359,-0.3413335338978396,-0.003947834572695363,-0.2052714294828486,0.0001,-0.07656873654715488,-0.4011771790110655,-0.2872257508608742,-0.3167170033188464,0.0001,-0.3557789511310414,-0.276423554372187,-0.2870807488725105,-0.3527647806835277,-0.3296243732034899,-0.39102028338588046,-0.18081782659854895,-0.22005811734812458,-0.035523490239765865,-0.26874364608018847,-0.4163529725179819,-0.2833624128959115,-0.297712102627066,-0.43619958869006625,0.07590525408392113,-0.28641104877802886,0.06655252859415259,0.0001,-0.24337584717986654,0.0001,-0.09897073513565656,-0.28020393260149506,-0.06783020951276102,-0.11304143869651945,-0.2627544554751938,-0.060318599786100456,-0.22449761436381221,-0.16012618800745962,-0.13292463000521798,-0.17257390038030043,-0.3793278382998573,-0.35614932507632957,-0.3419092349078107,-0.45522722648552405,-0.20878393381142585,-0.19282629737934018,0.004940605046646105,-0.054312894404807945
hmnhx4,-0.7759787747541042,-0.499428172462761,-0.15489659268461775,-0.30279593476825895,0.0001,-0.7909944089794622,-0.35684678049883517,-0.7689654998642272,-0.5695528542474129,-0.5785695259314029,0.0001,-0.20720911757181373,-0.49013529791037097,-0.711370967398803,-0.722424645937533,0.0001,-0.19729684709598633,-0.8346761549497037,-0.22352007218488715,0.21983086739216023,-0.6979767809391497,-0.5895183067392994,-0.32939172476373607,-0.7498051274254305,-0.819859073296106,-0.21077627253503045,-0.5970374676373529,-0.5077494511873638,-0.35559579799106306,-0.1853490194444549,0.15457859689138279,-0.4309087594170182,-0.05563560381613714,0.0001,-0.4582110194833185,0.0001,-0.7737987645973924,-0.6649234513066727,-0.515960326457687,-0.47495102208512663,-0.41176759364468846,-0.3704285702983642,-0.3899665525880309,-0.6759694656851207,0.07755456391853993,-0.2730860821909229,-0.4855777895155615,-0.5061699743471387,-0.4130737076656965,-0.6111138225412847,-0.46099865931094686,-0.40164743643134515,-0.8299747832871441,0.05198928286253944
hnldm2,-0.5246616321392513,-0.7486096925869693,-0.36056920145497207,-0.080938393794251,0.0001,-0.46995368654602054,-0.0528882210082815,-0.3234007210665568,-0.8537906298218827,-0.7766938907581332,0.0001,-0.2935517662256069,-0.5113588796174843,-0.5288094906743422,-0.04655184385896344,0.0001,-0.1393632160632691,-0.695994244312187,-0.009543680286855353,-0.24694060809188512,-0.7906913227088573,-0.19436778527577406,-0.030418383346627737,-0.6319973089699117,-0.5123060602927484,-0.43494625698071787,0.004668117465608168,-0.6250444602434867,-0.20508939051294217,-0.17331898309945593,-0.04096480794748253,-0.3155375802512649,-0.1378992223364319,0.0001,-0.5187627965178156,0.0001,-0.2388544271556549,-0.6004682576387902,-0.6030027607796677,-0.4967979194335975,-0.5255321133466725,-0.7230475386167079,-0.3699934480502135,-0.45184734644158464,-0.10849565547320483,0.10542983945256813,-0.46009742626954975,-0.24119831986688894,-0.2161570402439662,-0.6222031576640534,-0.41075317583400056,-0.15004496182158958,-0.3228723209976449,0.12298197480800117
jac345,-0.5187736651472029,-0.30497543591707116,-0.5188899507451731,-0.33122572632315506,0.0001,-0.38372920338222755,-0.1592115542403881,-0.6929289605980472,-0.0827985017665733,-0.41942620276067977,0.0001,-0.432731503505195,-0.6264298593730959,-0.7372209926056974,-0.2640903809715849,0.0001,-0.34824214412843607,-0.6214954348388582,-0.20734736392116665,-0.36307668419490663,-0.4369127143015446,-0.5101792776013635,-0.3025781907269945,-0.5920147939624417,-0.389193972218087,-0.3476585388274939,-0.40198217526961505,-0.6525826915148114,-0.4231904674512991,-0.37639128947184763,-0.11440031267499123,-0.3994369510688009,-0.11591596065226013,0.0001,-0.4051759308961393,0.0001,-0.3151883251393001,-0.5662588751743945,-0.32453743019054165,-0.3921869963176919,-0.5414200307363501,0.03911813943571522,-0.26650886661048745,-0.2869305156620486,-0.0745353591021835,-0.15939679972514992,-0.4890711657927796,-0.35168937862919364,-0.41494180757505084,-0.60982037450148,-0.21848890832487833,-0.1702669509022238,-0.4627472633738763,-0.022413754752869018
jahq76,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
jdf5g4,-0.36544117448625085,-0.25152284455909707,-0.23431022934119786,-0.20105202416552756,0.0001,-0.20695510617639962,-0.2726545666695302,-0.2027449160547193,-0.22373487832767622,-0.16184142424654646,0.0001,-0.1979890666221979,-0.044831692070631694,-0.22831178393706011,-0.22150373956868352,0.0001,-0.1283893741733271,-0.10714420317381178,-0.07266548093583364,-0.14136011724016023,-0.2861521619794869,-0.18599204236869918,-0.13353567639071773,-0.32658851390142835,-0.3265763033119901,-0.08863575310796688,-0.28856995713570927,-0.13000925797674337,-0.27974191201305904,-0.2266716493663145,-0.04577367414014039,-0.2978979872028622,0.023531371264653437,0.0001,-0.20754099234486562,0.0001,-0.241502551140535,-0.33877113516582447,-0.006857880531395845,-0.06093155384580913,-0.3336132865211083,-0.10901899694389233,-0.18946631459048463,-0.21631633423626587,0.017469235650248393,-0.14941232815637315,-0.23583724436825854,-0.2923240673957433,-0.35706715317647836,-0.13753847507972267,-0.007983642904913582,-0.23376895123861652,-0.32250094764086423,-0.20475866896861072
jfk535,-0.21915545833707328,-0.6900509369893295,-0.376817710125807,-0.2617928517504395,0.0001,-0.700302274307164,-0.14293931988804368,-0.6360141564664751,-0.6826365963761393,-0.6915668375810233,0.0001,-0.3108312064361161,-0.6844149905956699,-0.7533901395058533,-0.1115862281244919,0.0001,-0.20215752975247925,-0.8200098795907093,-0.22236283048609104,-0.33549324745659576,-0.3442129941341049,-0.3514960699287389,-0.3640871564203853,-0.5200349749967823,-0.2602291441295593,-0.26410582963370427,-0.5821870804658345,-0.74954557783535,-0.3273407867515942,-0.15946236503155073,-0.1514131533329599,-0.25673598426262084,-0.017899671825677116,0.0001,-0.6020388281620073,0.0001,-0.489309000649767,-0.686037798078067,-0.735219702099483,-0.6711399684225885,-0.639666081613271,-0.5436178338799691,-0.27626452521146727,-0.6935156705931862,0.01792587029726067,-0.06851510467558113,-0.5689702577050165,-0.36008110345799743,-0.2121603349890583,-0.6271738521630738,-0.7261435740657535,-0.021350531505970338,-0.38985763738736706,-0.20295114654750904
jhgn9c,-0.31658117110201117,-0.17672016806302793,-0.347911367476405,-0.2591820925564078,0.0001,-0.12885051983637355,-0.07754693352705117,-0.24742949671626038,-0.19052907301428662,-0.15352998832160888,0.0001,-0.2651623066536931,-0.2491443393945534,-0.261852994775036,-0.21340138303097564,0.0001,-0.15038089688122916,-0.0628469545704808,0.16571864036979145,-0.2192693077824748,-0.2029250480010002,-0.032339956170488515,-0.1531315504678502,-0.36562121925729374,-0.12600312761637786,-0.19509679514532274,-0.17777524988421906,-0.07467447265432148,-0.38062218899503286,-0.34573983551796506,-0.023384989515027946,-0.16928886335029214,-0.040322894276114046,0.0001,-0.17304438490814036,0.0001,-0.09132510717706561,0.027684591873010048,-0.1610088760031897,-0.16045579115709435,-0.24957980285285886,-0.17453671237974777,-0.06952088786566074,-0.49104054675319087,-0.10145018071420478,0.09642171025731835,0.004246129239520358,-0.2760973570846492,-0.34010960197150397,-0.30450445210232074,-0.04375504794951206,-0.16687065386569921,-0.030687818819746568,-0.031666410543098926
jkn7fc,-0.3924843712130356,-0.24269483010579387,-0.1267442775495365,-0.23333410703543378,0.0001,-0.2236863206870517,-0.09081143230485841,-0.26283335618050474,-0.18367631013434213,-0.15534618985507825,0.0001,-0.22015661333380263,-0.07714964447873071,-0.38551339759743675,-0.4361433212691329,0.0001,-0.176723368574916,-0.28412892636326337,-0.10646530178993151,0.1518913990500254,-0.22283693474991034,-0.247054840215089,-0.23731304312330237,-0.3808864578777143,-0.30598449283475526,-0.2146854157002977,-0.2798246284771753,0.1131312222056642,-0.2915274618816455,-0.27513902992560363,0.17476339738462707,-0.21303936847211866,-0.023734829625659336,0.0001,-0.22805612412342102,0.0001,-0.3091168400417726,-0.33634720865168694,-0.03676631368762989,-0.34871609194793624,-0.4300503174653184,-0.05709482557640146,-0.23968224837995292,-0.2538550949675286,-0.10526404970218498,-0.12111947070204014,-0.17772509149593785,-0.3996429661312569,-0.2595576465134892,-0.10962140935233175,-0.11036001724729118,-0.2770765306618642,-0.3568447233942321,-0.10578034611516712
jlgwxc,-0.5355103941171235,-0.7776829715210678,-0.03404912536011153,-0.22709882523547745,0.0001,-0.4997575740706823,-0.32838875391193,-0.5061925161385159,-0.75027679550272,-0.854374854671632,0.0001,-0.32215940942816507,-0.5581676902466717,-0.0470359187819521,-0.4761474074201293,0.0001,-0.13879577004112062,-0.6718427182291828,-0.1162925429450615,-0.11062898519095665,-0.8360532321213835,-0.3105501999422832,-0.23933278149694728,-0.5565574045476136,-0.4732511980034202,-0.39663813518973634,-0.38277361330900783,-0.605243953047438,-0.2885630017943674,-0.050926480833231876,-0.10047021349571185,-0.2112451400084596,-0.017228270324378826,0.0001,-0.800168512812984,0.0001,-0.4181147701080126,-0.3567586621630587,-0.842526671500394,-0.6874951240185717,-0.5628962783151624,-0.508650587909075,-0.18150243795488097,-0.6607210586650928,-0.0630673710217923,0.004010107124467147,-0.5424424125976857,-0.31916574313496066,-0.44899366946290753,-0.3150283090962805,-0.6964958931480039,-0.08279276317901207,-0.5171068699040354,0.03497181724124606
jlkm94,-0.13781935560990988,-0.41265329920604826,-0.396260760525749,-0.326314216324519,0.0001,-0.5898543408972746,-0.015865356072877236,-0.5097642824897153,-0.2930447965697772,-0.3084904268764321,0.0001,-0.06872744524604892,-0.6224355560921779,-0.7139248959114198,-0.43619115738222497,0.0001,-0.2131721727071784,-0.4851012963222497,-0.21361835018520484,-0.3466431690017635,-0.6999322208388483,-0.44484807711510604,-0.13954160006244018,-0.5958042151605303,-0.2842028403416907,-0.5756389700184857,-0.5447108289658846,-0.48822598519386035,-0.219402676673892,-0.166122663738958,0.0556829504317867,-0.2724260330405896,-0.058813685190202795,0.0001,-0.6131842811007411,0.0001,-0.4104526072808339,-0.49006146381925125,-0.33281016321059603,-0.5717671585578705,-0.589374929166475,-0.01196857804494601,-0.2924023862670781,-0.43032365929947697,-0.11713613750196371,-0.08477353877889687,-0.5060040153067655,-0.553203963911372,-0.4153575863556021,-0.5247120988138398,-0.40496419759144947,-0.1476169375566672,-0.2285429029026478,0.00037350212904019374
jmd5h8,-0.5118057672015163,-0.6067155932354329,-0.3096622052770772,-0.19949611447699422,0.0001,-0.5214814127573053,-0.2989009893009535,-0.6109139351387544,-0.11610333091028605,-0.6064076503164967,0.0001,-0.2961815155708868,-0.6722014878466341,-0.7417224510133922,-0.44609583630294175,0.0001,-0.29945999917273075,-0.8099103073961921,-0.20602707599520204,-0.24478494875273615,-0.6826576984525816,-0.5722418400667515,-0.2808657332375781,-0.4996497983802358,-0.4425008949833083,-0.4632364379146628,-0.3103239169367148,-0.7491517641470236,-0.18888931500117878,-0.11058672721917846,-0.08122212323370401,-0.3681413170743179,-0.06784467984259933,0.0001,-0.6881172022222583,0.0001,-0.4760758349796271,-0.6642202618080505,-0.6477734596075194,-0.6968018900199334,-0.443862619933659,0.0027734082780007338,-0.4189182107001976,-0.6467392752401053,-0.0811662174277223,-0.16412166871564546,-0.5206153565237309,-0.4887177128113422,-0.3622730066111052,-0.7673041742833434,-0.5712733540490491,-0.18163540624707353,-0.5555055830236048,-0.013100516584933213
jrrgxf,-0.6997063517807355,-0.5811344286614624,-0.25454830659489946,-0.2394923178831959,0.0001,-0.7062476964875052,-0.2536029096145978,-0.4179871502523488,-0.6263168773840404,-0.6708081799674895,0.0001,-0.25540961460468325,-0.4012155874460279,-0.7071288890426631,-0.6536008227043554,0.0001,-0.1916400434336486,-0.8036067798622281,-0.114583892166691,-0.29371462027949197,-0.7029803535769025,-0.3205080990117407,-0.2233726552927451,-0.7110735312810748,-0.5042764529696175,-0.4589207490860786,-0.42830684466331564,-0.6565970623920215,-0.2013027804452296,-0.23977268603738564,0.03541645722287274,-0.30786406148828394,-0.027469597877759187,0.0001,-0.4467905956890044,0.0001,-0.3359636906617278,-0.4355173363994811,-0.6127400832733592,-0.5252826737600359,-0.2909219132496678,-0.38832651980315575,-0.212736541267932,-0.803342520425295,0.015776512715310297,0.009873657642209693,-0.5242789582430096,-0.4601677754380421,-0.46137233567108404,-0.777046563325226,-0.5111306898629271,-0.16616084786633253,-0.36446452230277965,0.163043177712951
kab5zb,-0.5333834012665322,-0.3013911467018053,-0.2552730261424684,-0.2523562156518813,0.0001,-0.3749954161733059,-0.3410916239723515,-0.42452119610658884,0.050129720146441605,-0.44709363868509,0.0001,-0.23402787260596786,-0.40683161729876277,-0.5793981062235898,-0.380464490989112,0.0001,-0.2761289146115332,-0.5727625080358059,-0.21403703458200576,-0.16969537649875144,-0.6581089333274459,-0.44274100495438395,-0.10094182741953199,-0.47960113345324007,-0.5429806116795477,-0.6434648704406905,-0.4454605818452405,-0.3008638515362475,-0.2966729950663152,-0.24971322784444885,-0.11897449955495068,-0.35313443513980025,0.012223426876899214,0.0001,-0.5983536872555413,0.0001,-0.31182472737258543,-0.6129372328947327,-0.22503670974782,-0.3554172844847503,-0.655296308360839,0.0732828883138351,-0.4356840041708072,-0.4810430808480036,-0.14544658569096547,-0.22178461267201488,-0.6308871287173773,-0.4166656844014453,-0.458812812314956,-0.5159375939056912,-0.21913698952369973,-0.2743036455699607,-0.5092372432844133,0.012495751034881951
kah89f,-0.5552571283413847,-0.320444746083339,-0.33012348945452535,-0.22425008641106975,0.0001,-0.28261300637144976,-0.3480467476775417,-0.37651339150579044,-0.17281959861319618,-0.3800664954782688,0.0001,-0.3471517667496331,-0.3437585772930718,-0.3918419857572966,-0.4958744542141592,0.0001,-0.3319151327994656,-0.49052780621508035,-0.05743144397702373,-0.3363135105571043,-0.2107945536659028,-0.33082168661291805,-0.23679143599632518,-0.4852264328752488,-0.4201415124592976,-0.1495407891453163,-0.3059691443037163,-0.4464449231018206,-0.2336681086211738,-0.35569855465922934,-0.06803618718054817,-0.28670994071275924,0.02203193447110707,0.0001,-0.21939160685630685,0.0001,-0.31001844858839994,-0.41800240082741574,-0.26173459781139613,-0.35286082227285565,-0.4937826423651512,-0.14009265637924487,-0.3268189046403767,-0.43628189445863086,0.07346361663768185,-0.14064928081270864,-0.46969713034885135,-0.4495869951789171,-0.5567371080553015,-0.23196022709962605,-0.08079268440259438,-0.2456889946165134,-0.39447580220289624,-0.1661039056200553
kdcncc,-0.17815599794766043,-0.08662601975378141,-0.18388000769747917,-0.18228617760161453,0.0001,-0.1379141363205104,-0.081834050491547,-0.08194243709153937,-0.19902311518500965,-0.13080430031564688,0.0001,-0.1968620455317493,-0.0054255523205608515,-0.2164493068609947,-0.33563784513386097,0.0001,0.005991040112758279,0.020706968270525622,0.02563367880556295,-0.09682004379331133,-0.08505947423512994,0.0052545410528405554,-0.09960818656148532,-0.2655225003143279,-0.2200047802952734,-0.07885393495642268,-0.1686133122063346,-0.0021180112957612358,-0.11793290815446526,-0.11056897766993479,0.036258595127474334,-0.08528898673210954,-0.035251039722245886,0.0001,-0.07738200722264774,0.0001,-0.1396976238858109,-0.09606113662411336,-0.081259890706774,-0.025555489017401064,-0.07296963280398347,-0.15224646642255313,-0.1251836324298413,-0.2807659572075418,0.06693558060490695,-0.019858980463116873,-0.057684158313871144,-0.15715254651318375,-0.22896766188924836,-0.11322012514301766,-0.17419617989879235,-0.12597047651637291,-0.12601694150572745,-0.03230508680434188
