,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
jrrgxf,2.780697,-47.424063,-75.353132,1.979292,-70.383135,0.532711,-46.734490,16.290837,-32.440241,-46.551408,-70.383135,11.470036,-49.158953,0.228956,5.178246,-70.383135,-48.646057,0.048659,-48.147419,-56.192175,25.728544,4.947479,50.265975,0.000000,97.484797,-47.378324,1.238996,1.947336,-53.817508,-49.144431,-47.962729,137.241124,-45.767958,-70.383135,15.060543,-70.383135,5.738257,-98.400552,-48.817924,8.714423,-48.727381,-43.681178,-63.934456,3.794771,-51.245925,-58.697545,71.460507,8.429472,68.276189,1.818017,-47.971089,-72.681703,-166.528259,-61.568736
kab5zb,18.561362,-25.312515,11.431358,26.641084,-41.316208,-4.545971,-5.784448,2.478586,-39.634470,-21.951737,-41.316208,12.079857,22.388517,74.442912,11.145836,-41.316208,5.696663,44.636393,0.515831,-8.224972,-5.493934,42.682742,8.753258,-14.527178,0.000000,-0.696922,25.122950,4.880361,2.087593,-7.706025,-6.553810,4.327308,-10.379228,-41.316208,12.333662,-41.316208,7.064580,53.828484,-27.301230,23.044469,28.559226,-34.850727,0.278721,-1.217446,8.485564,-18.464399,42.752772,67.794333,17.346092,50.445326,-19.976595,18.418317,27.648064,-18.342349
kah89f,5.737802,-20.728972,15.144974,2.739676,-29.561038,0.663568,9.800706,3.411224,-8.113623,-18.663850,-29.561038,9.520447,3.337920,-1.178334,12.444628,-29.561038,9.689131,8.778989,4.727194,12.979523,-17.819617,4.329686,6.943552,-0.025766,12.382304,0.000000,0.840453,4.747272,2.709560,11.821542,9.147200,7.020712,5.858607,-29.561038,-21.093958,-29.561038,-2.063857,5.047103,-22.136874,-3.025945,5.052779,-12.904265,7.275604,10.311906,6.437331,-11.384336,23.537166,5.308168,23.403602,-7.949634,-15.681513,12.467743,11.125692,-5.665222
kdcncc,-2.174140,-32.464367,-7.542027,-0.894782,-47.314933,-3.582811,-7.647140,-4.859248,-21.434896,-29.236876,-47.314933,5.380480,-8.686675,5.092117,3.218687,-47.314933,-7.265857,-3.179905,-4.542099,-1.369573,-18.939475,4.779941,-3.911833,-8.999096,3.037864,-7.918044,0.000000,-6.761973,-1.779962,-7.761165,-11.353145,1.172777,-17.444563,-47.314933,-8.706775,-47.314933,-9.409840,4.553974,-32.007670,-7.001238,4.162845,-27.408163,7.724190,6.240105,-0.991909,-30.049274,3.107758,10.898964,9.476034,-3.000744,-25.695866,-1.703609,-2.804697,-21.546777
kedgm9,20.197930,-14.739230,-11.299775,26.813825,-43.092204,15.862049,-21.630354,-1.556440,18.468512,-11.533744,-43.092204,-3.485230,-8.180870,273.701037,15.270669,-43.092204,-17.900697,168.441912,-16.564457,-20.226883,26.959882,7.067910,-5.853575,-96.422095,-2.778657,-15.413738,20.553194,0.000000,-8.946016,-15.406842,-19.520055,-4.706220,-21.880004,-43.092204,-51.224561,-43.092204,41.937755,-11.735202,-15.772096,33.396286,-7.509271,-0.882493,-18.007391,10.404114,-10.326550,-35.306527,-8.092466,6.960457,-3.815493,1.667136,-4.310942,-9.075481,-7.592754,-27.373323
krh5f5,11.887625,-21.400887,8.247037,6.812621,-30.416356,9.718306,8.925025,13.274036,-9.575639,-18.328795,-30.416356,2.907230,5.964736,-3.208643,13.049732,-30.416356,10.364256,11.052007,5.647323,2.198355,-13.210319,9.831337,11.914620,2.895984,11.283169,4.032679,5.018823,5.251527,0.000000,0.138193,-0.000102,18.473382,11.959282,-30.416356,-14.430610,-30.416356,1.429940,5.736834,-23.193431,-1.504782,2.828729,-17.279298,10.129909,6.861453,9.323612,-11.388450,27.193925,16.441275,15.665669,5.784352,-20.814941,11.563754,2.909591,-14.254856
lms8m4,1.638911,-17.712978,10.218587,6.628746,-26.325557,8.803030,10.855233,21.966811,-11.034092,-15.022667,-26.325557,12.280243,17.586303,-3.545760,3.306661,-26.325557,6.448935,14.982216,13.499628,10.356260,-14.898813,16.223619,14.618010,2.136160,11.119707,4.711703,13.958118,8.136064,11.688646,0.000000,12.816654,15.648410,20.346851,-26.325557,4.190539,-26.325557,1.932086,10.931827,-18.208193,11.445357,22.021880,-19.611588,6.195733,10.947600,13.892868,-9.092833,36.296406,12.834412,16.312018,6.780305,-19.207542,19.914106,9.843597,-2.075307
lpnb79,16.801603,-21.463902,12.694925,11.786225,-33.369998,13.868046,6.000903,18.637235,-7.176173,-20.466053,-33.369998,21.304816,7.261794,15.938044,19.502664,-33.369998,10.624118,6.200622,8.753701,11.925695,-9.683667,18.712262,17.179772,8.842773,22.495782,6.185147,14.872316,15.242092,8.874830,5.339474,0.000000,14.724331,3.467122,-33.369998,5.308118,-33.369998,6.920027,19.047890,-21.729451,12.746346,20.177147,-14.169548,22.914108,21.286362,11.441915,-11.852035,14.053623,14.805447,14.241836,15.088046,-17.156682,12.301439,18.513498,-3.420422
mjpg95,1.496401,-26.392153,12.349449,6.236175,-40.596933,7.241517,-3.500441,25.356635,-20.736584,-26.980234,-40.596933,6.038225,8.707260,14.399235,11.814942,-40.596933,2.537568,5.360789,-2.889397,5.936045,-12.028653,12.240432,14.601712,-3.784729,4.995776,0.064017,8.039164,4.027664,7.403016,-2.136115,-15.826441,0.000000,-0.613194,-40.596933,0.352432,-40.596933,-1.522108,9.016646,-27.284278,1.476842,9.816299,-30.067535,6.775318,11.776317,5.760613,-18.736827,2.595568,13.649341,11.757714,21.287881,-22.679377,9.730718,6.577826,-13.429780
mmg9n6,11.074343,-19.455179,12.569084,7.064975,-27.533669,9.928664,7.701010,3.210689,-7.281646,-17.966498,-27.533669,13.654602,12.217921,13.167247,9.328399,-27.533669,4.825169,4.543685,10.412555,14.094348,-8.012644,2.628054,9.131924,6.048209,12.136298,6.222178,9.785224,1.630226,17.142214,11.842110,1.960790,11.400655,0.000000,-27.533669,-1.853999,-27.533669,1.251085,10.346347,-20.002453,2.771261,16.156756,-12.175716,17.623476,16.000187,11.957093,-5.007207,9.361830,10.885666,11.562933,2.689633,-14.098797,11.655053,7.375793,-0.868535
