,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
jlgwxc,0.000000,0.917594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.959250,0.445316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993415,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.494325,0.000000,0.000000,0.000000,0.491216,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998057,0.000000,0.000000,0.000000
jlkm94,0.007238,0.134917,0.104673,0.132937,0.000000,0.922453,0.000000,0.762409,0.001568,0.026691,0.000000,0.000018,0.994317,0.999314,0.413226,0.000000,0.009438,0.533451,0.000914,0.140340,0.999670,0.500000,0.000347,0.893764,0.092137,0.917454,0.744067,0.841395,0.010731,0.000961,0.000000,0.025347,0.000000,0.000000,0.973179,0.000000,0.328984,0.585962,0.034930,0.883290,0.924826,0.000000,0.004662,0.228032,0.000003,0.000000,0.816497,0.823313,0.287883,0.667079,0.050027,0.000165,0.003247,0.000000
jmd5h8,0.998855,0.999999,0.810304,0.411874,0.000191,0.976295,0.552573,1.000000,0.117235,1.000000,0.000191,0.678348,1.000000,1.000000,0.927974,0.000191,0.727617,1.000000,0.435258,0.560421,1.000000,0.999860,0.500000,0.991457,0.975779,0.994864,0.744371,1.000000,0.283707,0.164017,0.027387,0.871451,0.009709,0.000191,1.000000,0.000191,0.976664,1.000000,0.999985,1.000000,0.944173,0.163226,0.961776,1.000000,0.033285,0.075319,0.997659,0.977574,0.933669,1.000000,0.999991,0.262860,0.999597,0.002918
jrrgxf,0.044683,0.000677,0.000000,0.000000,0.000000,0.191221,0.000000,0.000190,0.000374,0.041366,0.000000,0.000000,0.000001,0.027042,0.011584,0.000000,0.000000,0.009169,0.000000,0.000000,0.212799,0.000001,0.000000,0.500000,0.000187,0.000018,0.000001,0.010829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000013,0.000931,0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000304,0.000034,0.000099,0.000354,0.000150,0.000000,0.000000,0.000000
kab5zb,0.460054,0.000620,0.007089,0.001245,0.000000,0.022748,0.004071,0.087988,0.000000,0.057426,0.000000,0.000147,0.158614,0.782511,0.016507,0.000000,0.004866,0.798542,0.000139,0.000053,0.977048,0.138152,0.000002,0.168122,0.500000,0.907441,0.257080,0.005729,0.003538,0.001117,0.000000,0.009730,0.000000,0.000000,0.624905,0.000000,0.001387,0.903105,0.000225,0.058645,0.981019,0.000000,0.109589,0.285255,0.000025,0.000005,0.991691,0.070920,0.402863,0.369471,0.000062,0.000640,0.218861,0.000000
kah89f,0.999982,0.910339,0.986575,0.911487,0.013702,0.888541,0.976191,0.974355,0.614324,0.953781,0.013702,0.985441,0.972611,0.987767,0.999694,0.013702,0.991940,0.999988,0.350966,0.959429,0.714922,0.969745,0.939515,0.997656,0.998874,0.500000,0.919111,0.999615,0.815226,0.990955,0.197330,0.978961,0.036590,0.013702,0.445456,0.013702,0.933450,0.999278,0.938199,0.917381,0.999075,0.480542,0.973543,0.998405,0.017109,0.437634,0.999985,0.999473,1.000000,0.762731,0.221699,0.953163,0.997584,0.576881
kdcncc,0.520342,0.083308,0.353026,0.716462,0.003053,0.380127,0.138724,0.177015,0.370733,0.120779,0.003053,0.456419,0.034007,0.599577,0.923999,0.003053,0.040218,0.020930,0.012871,0.266352,0.180354,0.070968,0.242649,0.547663,0.619169,0.203226,0.500000,0.046986,0.397187,0.221295,0.004438,0.279888,0.003865,0.003053,0.064635,0.003053,0.462035,0.219968,0.263792,0.048994,0.064080,0.246245,0.346104,0.857493,0.000857,0.027594,0.093703,0.530937,0.547823,0.219971,0.395116,0.353061,0.327538,0.020732
kedgm9,0.958435,0.524711,0.004133,0.049321,0.000000,0.996709,0.000002,0.952563,0.592230,0.421709,0.000000,0.000022,0.506670,1.000000,0.967049,0.000000,0.000036,1.000000,0.000016,0.000004,1.000000,0.260717,0.024510,1.000000,0.572292,0.194568,0.213727,0.500000,0.114855,0.043830,0.000000,0.028198,0.000000,0.000000,1.000000,0.000000,0.141315,0.665220,0.760513,0.998441,0.969433,0.102475,0.046496,1.000000,0.000001,0.000000,0.398184,0.562361,0.084253,0.997918,0.255909,0.002178,0.020856,0.000000
krh5f5,0.999944,0.099362,0.789007,0.883758,0.024562,0.997047,0.935351,0.990236,0.831621,0.820837,0.024562,0.852800,0.664127,0.953158,0.999460,0.024562,0.982792,0.991302,0.495982,0.714716,0.906058,0.991057,0.929752,0.999721,0.989529,0.868085,0.981741,0.974540,0.500000,0.805571,0.001185,0.994998,0.463588,0.024562,0.368656,0.024562,0.979557,0.942334,0.491153,0.546541,0.930112,0.198778,0.960756,0.981937,0.394098,0.439061,0.990367,0.994647,0.976173,0.989796,0.192770,0.977407,0.911728,0.004253
lms8m4,0.999961,0.977052,0.987964,0.999851,0.157028,0.999999,0.981739,1.000000,0.997055,0.999597,0.157028,0.999859,1.000000,0.999803,0.993581,0.157028,0.976080,1.000000,0.993608,0.987607,0.999290,0.999998,0.999363,1.000000,0.999976,0.999985,1.000000,1.000000,0.998543,0.500000,0.663716,0.999504,0.836412,0.157028,0.999998,0.157028,0.999959,0.999994,0.981025,1.000000,1.000000,0.635379,0.999012,0.999999,0.855138,0.434827,1.000000,0.999999,0.999999,0.999875,0.394388,0.961473,0.999950,0.586053
lpnb79,0.799578,0.663818,0.920536,0.694905,0.438720,0.815583,0.948889,0.741323,0.798283,0.516976,0.438720,0.958012,0.781584,0.988556,0.933702,0.438720,0.757458,0.953735,0.982032,0.988240,0.947014,0.958134,0.906623,0.877696,0.996691,0.993897,0.818497,0.747833,0.722163,0.972892,0.500000,0.943371,0.838328,0.438720,0.980353,0.438720,0.718513,0.999658,0.417401,0.909183,0.992540,0.860886,0.999939,0.910331,0.497277,0.952940,0.997675,0.796704,0.968622,0.846644,0.172528,0.819611,0.787494,0.921996
mjpg95,0.962514,0.564484,0.992596,0.997425,0.125054,0.999927,0.958802,0.998944,0.343524,0.796261,0.125054,0.950391,0.990790,0.999923,0.992235,0.125054,0.957599,0.995132,0.851727,0.996074,0.999560,0.993962,0.966468,0.996737,0.990674,0.978719,0.999913,0.994312,0.980813,0.972654,0.004122,0.500000,0.121959,0.125054,0.999523,0.125054,0.944192,0.958475,0.929703,0.945777,0.995339,0.060582,0.985061,0.980186,0.732843,0.951125,0.989591,0.993165,0.996564,0.999818,0.915051,0.962718,0.950126,0.445092
mmg9n6,0.999348,0.941590,0.998515,0.995907,0.874621,0.997987,0.881763,0.841138,0.994627,0.951671,0.874621,0.992615,0.869411,0.999965,0.978306,0.874621,0.942180,0.808602,0.962754,0.993489,0.979613,0.749980,0.976641,0.999391,0.999209,0.986270,0.999946,0.457905,0.992412,0.968245,0.288241,0.969607,0.500000,0.874621,0.985051,0.874621,0.981020,0.981171,0.993776,0.991095,0.999358,0.978464,0.999785,0.999947,0.990616,0.993506,0.937040,0.999062,0.995448,0.955855,0.958440,0.996263,0.968880,0.971203
mtf7w2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
mwwcn6,0.976871,0.605967,0.000007,0.000091,0.000000,0.997544,0.080057,0.340125,0.752122,0.999919,0.000000,0.020605,0.344582,0.395471,0.377518,0.000000,0.000011,0.805516,0.000000,0.000059,0.999997,0.022736,0.000346,0.550344,0.803577,0.001684,0.002390,1.000000,0.000234,0.000070,0.000000,0.017431,0.000000,0.000000,0.500000,0.000000,0.181140,0.780868,0.916910,0.335565,0.000651,0.016414,0.002083,0.892512,0.000000,0.000000,0.170411,0.165722,0.240559,0.320484,0.395101,0.000003,0.363931,0.000000
ngtp8b,0.998668,1.000000,0.975118,0.893547,0.500000,0.999914,0.880510,0.999489,1.000000,1.000000,0.500000,0.980289,0.998308,0.999965,0.899190,0.500000,0.827884,0.999994,0.734940,0.974647,0.421946,0.902137,0.979238,0.999986,0.998176,0.346648,0.991853,0.999896,0.981966,0.776574,0.798787,0.661681,0.388511,0.500000,1.000000,0.500000,0.991600,0.999664,1.000000,0.999977,0.998944,1.000000,0.173050,0.999979,0.198354,0.710265,0.987968,0.929423,0.993522,0.950194,1.000000,0.175436,0.997896,0.949444
nhm2p3,0.998955,0.993956,1.000000,0.999998,0.883287,0.999999,0.998964,0.999920,0.855333,0.999724,0.883287,0.999922,1.000000,1.000000,0.999980,0.883287,0.999994,0.999952,0.991648,1.000000,0.999993,0.999999,0.985507,0.999999,0.984332,1.000000,1.000000,0.999959,0.999998,0.999999,0.940516,0.999998,0.847548,0.883287,1.000000,0.883287,0.500000,1.000000,0.997071,1.000000,0.999999,0.998659,0.999998,0.998934,0.974754,0.865977,1.000000,1.000000,1.000000,1.000000,0.975589,0.999267,0.758826,0.974602
njd5zf,1.000000,0.007303,0.000000,0.000368,0.000000,0.442848,0.000051,1.000000,0.046038,0.049632,0.000000,0.000476,0.055070,0.974131,1.000000,0.000000,0.000391,0.000000,0.000000,0.000000,0.453626,0.003793,0.000702,0.933616,1.000000,0.000000,0.007085,0.463564,0.000029,0.000000,0.000000,0.021695,0.000000,0.000000,0.008303,0.000000,1.000000,0.500000,0.000924,0.225782,0.006471,0.000078,0.000050,1.000000,0.000000,0.000000,0.000042,0.038686,0.001438,0.400526,0.004471,0.000344,1.000000,0.000000
nm8c7,1.000000,0.365264,0.072118,0.225876,0.000000,0.985842,0.870623,0.999999,0.958628,0.996834,0.000000,0.996936,0.889117,0.999832,1.000000,0.000000,0.531119,1.000000,0.000096,0.000237,0.998654,0.395585,0.826801,1.000000,1.000000,0.835114,0.037833,0.999963,0.463263,0.971216,0.001261,0.266089,0.006089,0.000000,0.524891,0.000000,1.000000,0.997386,0.500000,0.999547,0.938104,0.475287,0.513238,1.000000,0.000003,0.034516,0.508406,0.988694,0.830491,0.999824,0.366895,0.143890,1.000000,0.000182
oro26b,0.016622,0.002218,0.003232,0.000008,0.000000,0.043207,0.000000,0.159669,0.000000,0.010454,0.000000,0.001301,0.518662,1.000000,0.000957,0.000000,0.000001,1.000000,0.000000,0.000414,1.000000,0.000104,0.000000,0.005176,0.032606,0.000171,0.000172,0.703835,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.061822,0.000000,0.016674,0.081378,0.038710,0.500000,0.023193,0.000000,0.000107,0.002509,0.000000,0.000000,0.014429,0.002348,0.001050,0.358656,0.082432,0.000000,0.070681,0.000000
pecxc9,0.307595,0.956056,0.112184,0.259685,0.000000,0.970581,0.000000,0.980371,0.000009,0.974634,0.000000,0.017115,0.983143,1.000000,0.773834,0.000000,0.001496,1.000000,0.000358,0.056822,0.999999,0.833210,0.061167,0.748821,0.415093,0.880601,0.977403,0.994702,0.026128,0.000000,0.000000,0.086391,0.000007,0.000000,0.999996,0.000000,0.762091,0.536549,0.983936,0.999999,0.500000,0.000000,0.373610,0.931351,0.000010,0.000000,0.506130,0.880867,0.180492,1.000000,0.976144,0.043720,0.687976,0.000000
pt7td,0.984144,1.000000,0.996976,0.970512,0.402203,0.982620,0.723816,1.000000,0.727227,1.000000,0.402203,0.883299,1.000000,1.000000,0.932218,0.402203,0.999987,1.000000,0.996171,0.999684,1.000000,1.000000,0.911373,0.073584,0.002122,0.999997,0.999988,1.000000,0.901840,0.048612,0.868806,0.796472,0.406715,0.402203,1.000000,0.402203,0.793080,1.000000,1.000000,1.000000,1.000000,0.500000,0.999966,0.997917,0.971475,0.998505,1.000000,1.000000,0.999762,1.000000,1.000000,0.961596,0.999177,0.332027
rrg3md,0.996047,0.874069,0.911368,0.990903,0.093194,0.999902,0.979797,0.999236,0.985162,0.686893,0.093194,0.987412,0.998070,0.915494,0.999467,0.093194,0.911636,0.997982,0.726039,0.985759,0.472745,0.968558,0.997871,0.999995,0.836759,0.942321,0.999977,0.999335,0.999896,0.962270,0.040915,0.946326,0.196570,0.093194,0.974357,0.093194,0.986308,0.973833,0.759956,0.999353,0.999995,0.902872,0.500000,0.944762,0.215571,0.557641,0.997872,0.999601,0.999136,0.942513,0.953715,0.966435,0.996912,0.922440
sanfz9,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
sbpc42,0.789032,0.950880,0.748003,0.644563,0.507756,0.329132,0.960957,0.679686,0.298424,0.586617,0.507756,0.944113,0.792212,0.763477,0.861567,0.507756,0.952699,0.389445,0.516269,0.762415,0.987672,0.862712,0.812203,0.685901,0.905875,0.980152,0.298186,0.548684,0.503296,0.832920,0.787621,0.974801,0.642384,0.507756,0.460072,0.507756,0.585532,0.965952,0.534196,0.533819,0.857461,0.082522,0.901964,0.944184,0.500000,0.699592,0.864349,0.934519,0.873056,0.956881,0.375408,0.758015,0.443711,0.196584
